productid	date	discountprice
162	2000-01-01	116.34
162	2004-04-17	183.73
163	2000-01-21	79.04
163	2005-12-12	99.07
163	2009-09-26	62.22
163	2011-08-26	58.10
164	2003-08-20	225.01
164	2006-04-13	258.89
165	2002-05-14	133.04
165	2004-10-26	171.65
165	2011-08-25	180.08
166	2004-04-13	245.36
166	2004-06-13	245.36
166	2010-05-15	245.36
166	2010-11-07	245.36
167	2001-09-20	74.30
168	2000-12-30	105.50
168	2002-09-19	220.92
168	2010-09-18	213.75
168	2011-04-12	158.90
169	2000-04-23	7.81
169	2001-06-30	4.39
169	2004-04-23	4.61
169	2006-06-02	6.44
169	2010-02-25	5.38
170	2002-04-12	41.21
170	2004-08-29	52.15
170	2006-03-17	41.69
170	2011-09-24	44.40
171	2000-03-23	366.32
171	2000-08-01	270.52
171	2006-10-17	333.50
172	2001-12-26	74.00
173	2000-03-25	150.48
173	2001-03-26	154.38
173	2008-01-21	172.88
173	2009-09-08	151.16
174	2001-11-01	94.00
175	2001-08-27	12.06
176	2002-12-03	52.18
176	2008-06-10	76.21
176	2011-05-17	67.46
177	2003-01-16	75.52
178	2001-01-09	42.35
178	2006-03-15	54.08
179	2002-04-02	67.05
180	2002-10-11	398.80
181	2006-05-26	88.45
181	2007-03-12	71.92
181	2012-03-18	57.89
182	2008-11-07	45.86
183	2003-03-25	459.34
183	2003-06-10	365.99
183	2004-06-08	440.97
183	2008-11-23	464.93
183	2009-02-04	388.67
183	2011-11-02	366.64
184	2001-08-20	82.82
184	2003-02-27	156.77
185	2001-10-03	382.47
185	2001-12-29	385.76
185	2006-12-04	342.99
185	2007-03-12	399.42
186	2005-12-31	158.50
186	2006-05-11	82.71
186	2008-11-21	141.22
186	2009-08-22	115.71
187	2002-11-04	58.30
187	2003-10-16	68.69
188	2001-12-10	451.48
188	2005-06-05	451.48
188	2006-01-20	451.48
189	2002-06-03	186.31
189	2010-09-20	186.31
190	2000-02-14	17.70
190	2002-07-09	24.25
190	2008-11-01	31.86
191	2000-08-30	390.66
191	2001-11-03	400.29
191	2002-06-05	353.06
191	2007-08-31	338.12
191	2009-03-06	328.16
191	2009-10-19	323.22
192	2000-09-10	298.39
192	2000-12-08	338.20
192	2002-11-01	389.84
192	2009-11-14	392.75
193	2001-02-23	124.60
193	2003-11-08	150.57
194	2003-05-29	77.86
194	2004-09-12	75.48
194	2006-12-05	76.94
194	2008-12-08	91.40
195	2000-07-08	200.88
195	2000-07-09	200.88
195	2002-08-24	200.88
195	2006-12-09	199.39
196	2006-03-25	188.51
196	2007-03-25	244.44
196	2007-10-12	309.57
197	2003-11-27	118.45
197	2005-01-22	89.24
197	2007-07-23	122.81
197	2009-02-25	119.24
197	2011-06-28	87.02
198	2000-09-14	77.04
198	2004-06-16	50.20
199	2003-10-13	150.88
199	2005-08-23	163.35
199	2010-02-14	169.87
199	2011-04-22	165.03
200	2002-07-28	25.62
201	2003-03-04	111.98
201	2012-02-16	51.92
202	2005-08-20	166.02
202	2005-08-26	223.94
203	2002-02-08	11.32
203	2002-04-30	13.72
203	2003-07-06	12.81
203	2006-06-07	12.56
204	2002-04-11	17.26
204	2005-06-24	12.45
204	2007-07-15	15.73
204	2010-10-15	12.56
205	2001-06-26	155.85
205	2002-09-11	159.37
205	2011-02-20	185.31
206	2002-05-10	301.94
206	2002-11-26	375.28
206	2008-05-14	357.12
207	2002-09-28	66.53
207	2004-08-10	58.42
207	2004-12-29	67.61
208	2000-11-11	96.47
208	2003-12-24	174.67
208	2005-05-16	214.50
208	2005-08-22	179.02
208	2007-10-08	159.93
208	2010-01-25	170.92
208	2010-10-22	144.27
209	2005-01-17	156.63
209	2006-04-25	178.12
209	2009-06-14	164.76
210	2002-06-02	238.90
210	2006-05-09	249.08
210	2007-03-30	228.95
211	2000-07-30	147.28
211	2000-10-26	137.20
211	2002-02-22	137.19
211	2006-04-27	167.38
212	2001-01-25	60.39
212	2003-11-05	114.07
212	2004-03-27	116.78
212	2009-12-08	76.56
213	2002-01-27	72.00
213	2007-04-23	89.90
213	2009-04-18	75.20
213	2010-04-17	93.67
214	2004-11-19	327.98
215	2004-11-05	11.37
215	2007-04-10	13.05
216	2003-04-03	97.67
216	2010-09-10	89.28
217	2002-11-15	127.45
217	2003-10-05	145.29
217	2006-07-10	252.11
217	2007-03-01	248.39
218	2002-10-21	310.57
218	2011-11-18	310.57
219	2000-01-20	140.76
221	2000-06-27	163.53
221	2001-11-07	137.95
222	2001-11-28	50.15
223	2002-01-20	256.61
223	2006-11-12	198.23
223	2007-12-02	229.42
223	2011-02-28	256.77
224	2007-12-03	307.88
224	2011-04-30	356.40
225	2000-12-11	121.92
225	2002-03-18	104.49
225	2005-07-07	138.97
225	2007-06-10	119.00
225	2010-01-21	99.23
226	2004-03-09	55.28
226	2005-01-13	49.27
226	2006-01-10	44.61
226	2009-09-01	39.33
226	2012-06-21	54.74
227	2005-03-03	92.30
227	2011-07-18	94.28
229	2005-02-14	114.28
229	2006-06-26	115.87
230	2002-02-23	107.48
230	2004-11-17	111.20
231	2004-12-11	127.24
231	2005-04-01	92.49
232	2005-05-04	36.94
232	2006-01-25	66.33
232	2009-05-06	44.66
233	2001-08-04	218.23
233	2003-03-06	278.23
233	2003-10-19	263.24
234	2000-11-20	70.89
234	2002-08-16	85.23
235	2012-03-08	128.45
236	2003-10-19	313.91
236	2009-09-25	340.34
236	2010-08-18	340.34
237	2002-06-22	260.51
237	2005-05-13	138.30
238	2000-08-26	424.61
238	2001-10-08	412.82
238	2008-08-09	440.68
239	2000-05-22	360.69
239	2003-09-11	376.73
239	2009-06-07	376.73
240	2006-04-02	131.55
240	2007-06-01	134.66
240	2008-02-04	174.04
241	2002-08-21	322.83
241	2005-02-13	305.61
241	2011-05-15	322.83
242	2000-04-17	147.19
242	2002-02-12	138.22
242	2010-01-18	128.74
243	2001-01-21	266.55
243	2001-09-11	225.19
244	2001-02-13	354.01
244	2004-05-24	378.29
245	2000-03-03	197.35
245	2001-10-07	220.84
245	2006-10-13	241.40
245	2010-10-06	155.52
246	2002-09-17	82.76
246	2003-06-19	82.76
246	2005-06-07	82.76
246	2008-05-11	78.64
247	2002-01-28	137.74
247	2003-10-10	184.17
247	2006-02-16	137.15
248	2006-05-10	236.38
248	2008-12-19	155.02
249	2002-03-26	115.37
249	2006-11-05	92.53
249	2007-03-30	129.87
249	2008-11-01	128.69
249	2010-12-14	113.35
250	2000-09-24	339.67
250	2001-07-12	439.92
250	2005-08-18	439.92
251	2002-06-19	2.64
252	2000-02-16	352.39
252	2002-10-21	388.51
252	2010-08-05	325.76
253	2003-08-28	208.06
253	2004-05-25	212.95
253	2005-01-04	191.16
253	2010-05-17	166.13
253	2011-02-21	204.94
254	2000-10-26	353.94
254	2011-07-26	371.55
255	2000-01-12	344.65
255	2001-03-06	343.26
255	2003-05-03	344.65
255	2005-10-29	344.65
255	2007-12-02	344.65
256	2002-03-22	17.44
256	2003-02-15	11.08
256	2009-01-18	19.62
257	2005-08-22	10.15
257	2006-02-21	10.00
257	2006-06-14	8.56
257	2009-04-14	9.57
258	2001-05-29	49.93
258	2002-07-27	57.56
258	2003-12-09	66.66
258	2006-02-18	66.66
258	2006-05-20	52.71
258	2008-02-12	51.53
259	2006-10-11	187.55
259	2008-02-05	193.38
259	2009-06-18	229.82
259	2012-02-24	280.49
260	2003-02-23	363.70
260	2006-04-13	363.70
261	2002-02-16	184.65
261	2003-07-26	222.53
261	2010-08-10	165.11
261	2012-02-12	180.11
262	2000-03-22	325.55
262	2001-01-14	423.48
262	2001-03-16	356.97
263	2000-02-20	274.43
263	2002-06-05	297.62
263	2005-03-04	290.20
263	2008-07-03	273.04
264	2000-02-19	53.87
264	2000-12-03	63.43
264	2002-03-03	57.67
264	2008-04-10	67.92
264	2011-10-04	67.92
265	2000-02-07	379.88
265	2001-12-21	339.75
265	2002-12-31	375.00
265	2003-05-15	384.02
265	2006-03-21	427.15
265	2009-06-26	424.50
265	2009-12-10	393.05
266	2004-05-25	49.79
267	2000-01-06	181.62
267	2001-07-09	154.05
267	2003-07-25	173.05
267	2003-11-11	60.18
267	2003-11-13	165.37
268	2003-05-09	47.49
268	2004-08-15	44.20
268	2004-11-20	44.74
269	2001-02-16	211.97
269	2001-10-24	222.07
269	2011-06-22	139.11
270	2000-06-03	163.41
270	2003-01-24	125.43
270	2005-08-24	150.22
270	2007-01-28	121.45
271	2001-02-02	239.00
271	2002-02-07	230.76
271	2009-10-14	169.10
272	2001-11-07	21.87
272	2002-03-05	24.24
272	2007-10-09	15.58
272	2009-03-19	18.68
272	2009-08-07	20.04
273	2009-06-03	428.83
274	2001-09-27	235.30
274	2005-01-16	288.55
274	2005-01-31	243.53
274	2007-06-12	264.17
275	2003-02-01	109.89
275	2008-12-16	168.32
276	2001-10-06	27.20
276	2004-10-07	23.94
276	2007-06-19	27.20
276	2011-06-23	25.17
277	2001-02-19	140.82
277	2006-02-22	167.91
277	2008-07-30	150.82
278	2003-06-15	363.48
278	2008-06-26	363.48
278	2009-11-28	326.76
279	2000-06-08	50.93
280	2005-10-17	99.85
280	2006-09-25	94.15
281	2001-07-26	139.10
282	2002-03-19	158.52
283	2003-07-19	171.00
283	2005-06-17	97.81
283	2009-12-06	203.51
284	2001-08-29	143.52
284	2006-08-10	110.38
284	2009-12-06	134.56
284	2012-01-01	124.67
285	2004-11-21	108.88
286	2002-06-30	65.51
287	2003-09-20	140.68
287	2004-06-07	139.17
287	2011-01-13	149.53
287	2011-01-19	205.86
288	2001-12-29	9.13
288	2007-07-05	6.91
289	2002-06-26	185.48
289	2002-12-08	149.01
290	2001-04-05	39.71
290	2003-08-08	38.46
290	2007-10-27	43.38
290	2011-08-22	36.21
291	2002-06-07	329.82
291	2009-04-06	329.82
292	2001-06-04	136.56
292	2001-07-10	116.97
293	2007-04-21	91.59
294	2004-01-03	14.04
294	2006-12-11	14.04
294	2010-03-22	14.04
295	2002-11-25	209.96
295	2008-12-26	209.96
296	2000-11-03	150.86
296	2002-01-10	149.84
296	2007-04-25	162.13
297	2000-07-02	299.50
297	2001-03-14	231.52
297	2004-02-01	286.11
297	2004-07-21	293.36
297	2008-05-13	283.26
297	2010-06-08	211.00
298	2002-06-10	127.67
299	2002-07-07	3.00
300	2001-11-29	184.80
300	2001-12-28	261.16
300	2002-09-07	201.59
300	2003-12-14	246.36
301	2001-09-12	118.62
301	2010-07-06	146.17
302	2010-12-19	73.49
303	2002-01-22	17.67
303	2002-09-24	20.25
304	2001-07-20	449.25
304	2003-12-26	449.25
304	2010-04-08	449.25
304	2010-07-27	449.25
305	2005-03-16	97.46
305	2012-04-23	97.13
306	2005-03-14	400.97
307	2003-02-28	9.77
307	2003-12-10	11.06
307	2004-11-26	10.48
307	2007-01-14	8.11
307	2010-04-16	6.81
308	2003-08-15	327.61
309	2000-09-07	204.57
309	2001-05-08	239.57
309	2001-10-08	211.94
309	2002-06-18	222.85
310	2002-05-03	318.44
310	2008-12-13	279.53
310	2009-01-17	318.44
311	2006-08-03	99.35
311	2008-05-23	97.61
312	2000-02-21	65.93
312	2000-07-01	103.14
312	2003-02-28	67.48
312	2004-01-01	66.48
312	2009-12-20	72.18
313	2000-11-03	436.97
313	2002-10-08	423.49
313	2002-11-04	362.09
313	2011-01-31	409.65
314	2001-03-21	239.77
314	2005-10-23	239.77
314	2006-07-21	239.77
315	2001-02-27	27.38
315	2001-09-14	23.65
315	2007-12-30	19.14
315	2009-11-21	20.07
315	2012-02-25	25.96
316	2002-12-20	210.43
317	2002-09-24	5.30
317	2004-10-21	8.29
317	2005-10-06	6.74
318	2001-02-13	76.18
318	2002-11-26	92.32
318	2004-02-22	83.88
318	2011-04-12	79.26
319	2001-09-03	193.52
319	2004-03-29	129.53
320	2003-07-07	57.06
320	2003-11-02	57.06
320	2004-06-11	57.06
320	2010-04-30	57.06
321	2000-03-08	222.34
321	2001-10-10	222.34
321	2005-08-11	222.06
321	2007-11-01	222.34
321	2011-08-19	222.34
322	2008-04-10	421.22
323	2004-09-14	294.40
324	2003-08-19	248.27
325	2005-04-02	173.49
325	2008-05-30	225.22
325	2011-11-21	195.96
326	2001-09-26	482.60
326	2004-11-28	382.66
326	2005-06-14	439.33
327	2001-12-01	86.18
327	2003-12-29	197.25
327	2005-01-06	217.52
327	2010-01-13	131.03
328	2000-04-08	198.48
328	2001-09-12	172.83
328	2006-10-17	69.92
328	2009-03-03	192.29
329	2000-04-06	192.45
329	2008-05-29	192.45
329	2012-02-22	192.45
329	2012-03-06	192.45
330	2004-06-10	139.84
330	2005-03-18	139.84
331	2000-07-05	173.50
331	2001-02-28	173.50
331	2001-12-27	173.50
332	2003-10-10	134.03
332	2004-02-08	167.37
332	2007-05-06	176.90
333	2002-01-12	165.65
333	2002-03-18	152.24
333	2007-09-10	232.87
334	2000-02-07	119.40
334	2008-01-19	157.39
334	2008-02-05	138.10
334	2011-10-11	134.54
335	2000-03-21	236.84
336	2000-05-13	97.57
337	2002-03-02	124.61
338	2003-12-30	4.94
338	2006-06-13	5.14
338	2008-11-23	5.14
338	2012-02-06	5.14
340	2001-04-28	140.68
340	2007-12-22	145.30
340	2010-01-13	137.35
341	2002-10-05	235.81
341	2002-10-07	296.28
341	2008-08-03	219.13
342	2001-06-20	412.63
342	2002-03-05	450.43
343	2000-03-08	113.68
343	2003-02-06	129.06
343	2011-02-18	125.55
343	2011-06-05	129.06
344	2007-08-04	424.65
345	2001-04-16	289.86
345	2001-11-30	392.20
345	2006-08-24	338.62
346	2004-05-10	114.42
346	2007-04-30	96.52
347	2000-06-25	355.75
347	2001-09-19	347.44
347	2010-06-30	274.16
348	2001-09-17	330.30
348	2007-02-08	358.28
349	2001-10-30	447.52
349	2012-01-16	403.75
350	2002-10-31	112.35
350	2012-05-05	185.38
351	2000-09-09	293.83
351	2008-11-11	245.98
351	2012-05-31	268.01
352	2005-04-08	152.26
353	2001-01-31	221.10
353	2003-10-10	248.37
353	2005-04-11	248.37
354	2000-04-02	444.01
354	2000-12-25	444.01
354	2006-02-07	411.35
355	2007-02-04	27.18
356	2000-11-09	219.95
356	2001-02-12	215.99
356	2001-10-20	219.95
356	2003-05-06	219.95
357	2003-05-12	379.19
357	2010-03-30	324.03
358	2000-02-17	221.35
358	2003-01-23	163.06
359	2000-09-06	87.02
359	2004-02-01	87.02
359	2011-06-04	87.02
360	2000-03-28	75.94
360	2000-07-02	76.13
360	2008-12-31	68.28
360	2009-09-21	65.87
361	2001-06-15	27.88
362	2000-06-15	54.79
362	2007-12-17	45.93
363	2001-05-10	194.88
363	2003-06-01	194.88
363	2011-04-28	194.88
364	2002-01-06	212.90
365	2000-09-30	145.94
365	2007-10-22	145.94
366	2000-01-08	440.68
366	2001-12-20	440.68
366	2002-05-18	440.68
366	2006-03-23	440.68
367	2000-04-19	279.65
367	2004-11-20	279.65
368	2002-03-26	142.77
368	2005-05-03	160.16
369	2003-02-18	277.81
369	2005-05-26	268.22
369	2007-10-14	211.98
370	2001-12-02	151.46
371	2002-02-01	27.47
371	2009-01-05	31.18
372	2001-12-24	6.69
372	2003-08-05	4.69
373	2001-02-05	50.52
373	2001-03-25	45.50
373	2002-03-20	43.05
373	2002-11-17	45.82
374	2002-05-07	277.27
375	2000-06-18	95.86
375	2003-01-21	114.94
375	2006-06-11	100.59
375	2008-05-18	101.59
375	2008-06-06	84.62
375	2009-04-11	61.79
375	2011-06-23	63.53
376	2002-09-10	266.91
376	2003-11-06	266.91
376	2007-12-17	266.91
377	2000-01-18	177.42
377	2006-08-02	96.33
377	2011-02-02	162.58
378	2001-12-05	364.75
378	2005-01-27	364.75
379	2001-03-25	222.03
379	2001-10-04	183.96
379	2002-02-20	233.63
379	2003-05-12	241.53
380	2001-12-20	107.95
380	2005-04-13	58.53
