productid	name	retailprice
120	Zeefropexar	39.42
121	Trupebefover	480.35
122	Zeeglibopor	174.55
123	Raprobicator	5.25
124	Adwerover	398.46
125	Zeetumentor	329.51
126	Varcadistor	462.42
127	Zeerobimar	462.53
128	Lomsipamower	81.93
129	Updimexax	259.55
130	Rapweronantor	499.67
131	Klisipar	299.52
132	Remunimax	304.15
133	Lomquestomman	233.88
134	Rerobentor	17.97
135	Vardudantor	50.18
136	Surdimomman	306.41
137	Adpickedgentor	166.58
138	Surfropax	170.23
139	Unglibommicator	396.64
140	Lomtanan	393.46
141	Tipjubexantor	440.50
142	Zeehupadantor	402.17
143	Upzapor	397.55
144	Barcadaquazz	423.90
145	Varzapaquan	274.29
146	Surtinefor	426.68
147	Adkilazz	305.28
148	Tuphupinor	30.54
149	Unjubupistor	112.29
150	Lomdudupor	429.12
151	Untanazz	80.50
152	Tupvenonin	390.46
153	Tipfropentor	235.63
154	Tuphupackazz	277.85
155	Zeevenover	329.79
156	Varhupentor	485.75
157	Lomtinicator	402.08
158	Dopmunax	269.86
159	Rapkilepicator	334.58
160	Trunipin	200.97
161	Emwerover	191.54
162	Lomwerador	453.90
163	Endjubicover	144.14
164	Endfropamentor	261.50
165	Hapsipomman	229.33
166	Dopdimover	247.84
167	Upwerex	153.60
168	Varcadex	490.92
169	Tuptumower	14.32
170	Qwitumicax	87.79
171	Winquesticator	479.24
172	Invenower	96.18
173	Grobanor	307.48
174	Qwipebplistor	318.96
175	Emfropexex	98.92
176	Zeehupex	79.18
177	Frohupover	276.99
178	Uphupicator	81.35
179	Emquestollantor	125.17
180	Adbanex	402.83
181	Adrobinan	158.14
182	Monvenepazz	432.99
183	Monjubentor	469.63
184	Bardimex	330.43
185	Hapdimor	420.17
186	Monjubor	409.06
187	Unrobin	69.52
188	Trunipplazz	456.04
189	Suprobimin	188.19
190	Upsapamar	64.43
191	Survenor	404.33
192	Monvenentor	396.72
193	Emvenicator	335.65
194	Winquestollax	196.67
195	Grosapor	202.91
196	Varpickentor	486.60
197	Klipickollax	259.03
198	Winsapupover	137.05
199	Cipvenimower	195.57
200	Hapwerimicator	27.45
201	Rapsapower	274.08
202	Winrobommistor	314.36
203	Retumamentor	17.22
204	Parjubollor	25.50
205	Varglibin	449.89
206	Tipwerpin	484.31
207	Doptumadower	83.98
208	Grosapower	416.67
209	Upmunantor	179.92
210	Supvenar	251.60
211	Rewerpower	209.76
212	Adpickinazz	321.73
213	Intinower	145.69
214	Varwerpanower	431.75
215	Zeedimower	43.83
216	Upsapar	258.55
217	Hapwerex	484.26
218	Barkilentor	313.71
219	Tipbanommax	341.33
220	Ciperplax	320.27
221	Upbanazz	179.32
222	Klitumover	197.56
223	Upsapimor	303.73
224	Upglibicator	449.89
225	Cipfropexex	183.46
226	Winjubexentor	83.52
227	Parrobazz	260.54
228	Supwerpover	111.82
229	Rapglibex	117.04
230	Parsipefan	112.32
231	Thrusapentor	320.15
232	Lomnipanower	140.94
233	Haphupicator	385.78
234	Qwitumar	98.72
235	Supdimopin	129.75
236	Thrunipaquentor	343.78
237	Kliwerommistor	416.78
238	Varrobeficator	445.13
239	Adpebeficator	380.54
240	Unnipackentor	435.86
241	Rapsipower	326.09
242	Rejubefistor	152.85
243	Hapnipexower	277.11
244	Supbanantor	436.58
245	Tuprobedan	354.68
246	Lomerplantor	83.60
247	Rapvenar	252.03
248	Unbanover	403.89
249	Parhupar	153.84
250	Monbanicator	444.36
251	Lomrobax	3.34
252	Tupcadommistor	445.33
253	Rapdimepax	295.72
254	Supvenefazz	375.30
255	Montinefazz	348.13
256	Revenex	77.52
257	Upsapedover	11.63
258	Dopbanentor	67.33
259	Survenin	342.05
260	Varsapanin	367.37
261	Frovenazz	224.78
262	Tupwerpimar	472.16
263	Cipzapar	300.63
264	Windimower	68.61
265	Unsapex	431.46
266	Parfropadantor	69.81
267	Tipkilower	435.95
268	Qwinipamex	47.97
269	Partinover	303.00
270	Adkilor	200.05
271	Tipquestistor	341.77
272	Winnipilover	40.13
273	Klifropamentor	433.16
274	Haptanupantor	405.47
275	Barkilistor	494.18
276	Monwericower	27.47
277	Rebanax	420.45
278	Surzapegax	367.15
279	Trutumover	96.21
280	Untumover	100.86
281	Redudackar	331.49
282	Rapwerex	356.65
283	Supdimonentor	457.98
284	Gromunplover	172.68
285	Winwerpan	109.98
286	Truzapican	374.82
287	Tipkilover	345.22
288	Lomtinex	11.48
289	Monroban	250.60
290	Supquestackan	53.23
291	Groweran	333.15
292	Klitanicator	350.45
293	Revenollan	104.09
294	Endsipistor	14.18
295	Wincadamistor	212.08
296	Monsipommistor	353.93
297	Thrumunonax	352.22
298	Adtinentor	209.51
299	Klizapedgantor	6.13
300	Surpickex	285.87
301	Qwifropimover	147.65
302	Thrurobimicator	205.06
303	Varhupan	101.89
304	Supfropantor	453.79
305	Tuppebopentor	103.59
306	Tupdimegantor	463.21
307	Fropebicator	13.17
308	Qwiglibaquar	390.25
309	Adrobollor	381.12
310	Wintanax	321.66
311	Rapsapex	157.07
312	Redudex	144.49
313	Endwerpistor	471.12
314	Zeesipazz	242.19
315	Tuprobanantor	36.87
316	Monwerilantor	368.13
317	Retanicator	15.18
318	Surtumanex	128.95
319	Updudistor	458.63
320	Haphupexistor	57.64
321	Winsipexex	224.59
322	Tuphupamin	425.47
323	Moncadistor	297.37
324	Emkililin	250.78
325	Doperan	366.89
326	Parglibover	491.33
327	Tupdimantor	436.05
328	Hapsipinan	419.98
329	Mondudexin	194.39
330	Fropickaman	141.25
331	Parrobor	175.25
332	Froglibefax	211.94
333	Trukilantor	362.02
334	Supzapar	310.34
335	Emdudonan	453.21
336	Endcadazz	127.44
337	Surtinover	255.76
338	Dopvenower	5.19
339	Qwifropilistor	70.09
340	Endzapinicator	146.77
341	Winrobaquazz	362.66
342	Infroponar	454.98
343	Retinegan	130.36
344	Gropickicator	428.94
345	Haptumar	396.16
346	Uncadax	189.66
347	Invenor	379.33
348	Ciperimar	361.90
349	Monerex	477.31
350	Mondimaquover	343.95
351	Upwerpantor	339.75
352	Partinicantor	224.27
353	Barmunaquistor	250.88
354	Barweramantor	448.49
355	Adtanazz	62.28
356	Grodiman	222.17
357	Varrobin	407.69
358	Parquestar	351.11
359	Tipsapover	87.90
360	Winweregicator	112.26
361	Suptanedgentor	28.16
362	Hapquestover	93.18
363	Klidudplar	196.85
364	Lomfroponex	240.86
365	Surpickewentor	147.41
366	Dopnipefistor	445.13
367	Supericator	282.47
368	Wintinewin	161.78
369	Dopdimanax	288.97
370	Advenover	409.43
371	Hapzapistor	113.37
372	Klitinistor	10.99
373	Emweronar	59.86
374	Cipdudinan	312.86
375	Monglibepar	194.98
376	Emsipackex	269.61
377	Rapdudin	296.11
378	Frorobistor	368.43
379	Zeedimin	354.62
380	Barmunedex	178.23
381	Enddimax	112.99
382	Mondudax	75.15
383	Qwitumewar	442.68
384	Unniponower	350.44
385	Cipdimazz	301.50
386	Lompeban	450.97
387	Zeesipicator	461.07
388	Monzapazz	413.53
389	Endwerpinicator	249.06
390	Zeedudommover	232.04
391	Supsapan	219.75
392	Thruglibentor	404.65
393	Trujubex	417.29
394	Monkilax	457.83
395	Truzapaquar	119.60
396	Pardimedentor	270.47
397	Adfropax	259.12
398	Rehupopover	389.50
399	Varpickentor	282.53
400	Mondimewan	451.03
401	Barwerpilistor	407.20
402	Tipvenplar	218.56
403	Monquestistor	73.93
404	Uprobefin	68.87
405	Unjubadower	231.59
406	Lomtanistor	329.76
407	Frovenupar	165.42
408	Tupbanar	438.02
409	Resipedower	254.51
410	Dopzapadex	292.67
411	Retinan	426.06
412	Klihupilover	40.26
413	Supnipommazz	496.49
414	Emsipollex	409.67
415	Emsipamex	499.27
416	Thruwerpex	453.02
417	Frodimollan	150.51
418	Endtanistor	346.42
419	Hapwerpar	439.36
420	Tupglibin	196.44
421	Lomwericar	484.06
422	Barfropover	368.94
423	Suppickegar	412.72
424	Monsapentor	57.93
425	Rapmunor	190.69
426	Hapglibar	208.72
427	Montumar	93.71
428	Upfropantor	102.03
429	Qwibanan	194.25
430	Inwerilistor	424.51
431	Qwifropexax	11.49
432	Endfropax	406.61
433	Monkilepex	86.91
434	Unjubantor	403.59
435	Frodimover	271.03
436	Cipwerentor	394.44
437	Lomdudonin	2.22
438	Emsipover	374.80
439	Repebamistor	119.85
440	Endquestantor	471.75
441	Thrurobaquin	286.56
442	Refropedgower	24.05
443	Untumax	160.02
444	Resipor	456.39
445	Cipvenicator	305.98
446	Endtumover	180.49
447	Unsapexover	408.15
448	Pardimin	8.62
449	Dopmunan	458.56
450	Cipdimedgover	166.59
451	Tupbanupan	120.97
452	Qwisipamover	412.71
453	Tupdimonazz	450.14
454	Winerazz	87.08
455	Tipcadantor	466.96
456	Doppickax	39.26
457	Tiptinantor	305.84
458	Emjubicator	17.00
459	Monsipan	378.19
460	Rapfropin	23.86
461	Endtumicator	237.05
462	Adbanimentor	64.39
463	Hapwerpicator	244.77
464	Endtinentor	330.00
465	Emwerpamor	282.18
466	Grotuman	20.45
467	Emfropar	453.35
468	Endpickplan	93.90
469	Hapwerpar	139.64
470	Tipmunor	105.83
471	Varkilazz	451.80
472	Cipwerpin	275.70
473	Dophupedar	227.57
474	Emtumopantor	467.61
475	Trupickinex	409.88
476	Bardudax	461.02
477	Surwerinicator	209.92
478	Frobanex	456.33
479	Upmunackentor	251.95
480	Grobanamistor	11.19
481	Trududonistor	300.57
482	Parhupedgin	86.09
483	Zeerobax	143.47
484	Rapfropor	28.67
485	Trudimupover	304.54
486	Fromunaquover	98.78
487	Winzapinower	456.47
488	Lomvenefentor	499.82
489	Rapcadicator	436.63
490	Endtumackistor	232.78
491	Tuprobaquazz	89.60
492	Thruerexax	485.22
493	Supwerpegex	496.62
494	Frotanower	96.99
495	Suphupedentor	235.69
496	Dopnipedazz	223.17
497	Unbanar	279.28
498	Tiptinegan	330.02
499	Inzapor	175.21
500	Winwerantor	286.53
501	Gropickefantor	227.14
502	Inpickar	315.25
503	Emeran	368.98
504	Hapdudistor	353.73
505	Adfropin	214.79
506	Grotanewan	345.27
507	Growerar	186.14
508	Happickantor	482.53
509	Zeepebamax	177.20
510	Unmunistor	6.95
511	Frocadicator	329.34
512	Supweraquower	349.51
513	Superazz	265.05
514	Tupbanax	367.99
515	Tipsapazz	223.29
516	Uprobefistor	151.96
517	Monpickewan	420.92
518	Dopdiman	217.10
519	Indudopazz	26.46
520	Zeesapower	184.41
521	Haptinopor	63.99
522	Klizapollicator	453.53
523	Klipickedgex	157.27
524	Barhuponicator	406.86
525	Dopvenicator	17.24
526	Haptumazz	466.58
527	Resapan	279.08
528	Ciptanover	131.58
529	Hapvenefower	232.92
530	Cippickepin	187.72
531	Tipmunistor	182.74
532	Rappickegentor	379.91
533	Qwidudax	282.12
534	Doptumicicator	465.42
535	Froeredgicator	284.05
536	Lomtanilin	485.32
537	Thrubanaquantor	217.11
538	Supcadicentor	289.75
539	Redudopar	313.88
540	Zeetinentor	459.27
541	Partumar	412.64
542	Haptanedor	473.94
543	Emjubar	323.62
544	Klipickegan	430.68
545	Klihupax	403.44
546	Monwerpicator	240.08
547	Dopdudistor	221.17
548	Adtumanazz	129.63
549	Winhupover	373.70
550	Unmunplower	84.73
551	Surtinentor	302.25
552	Lomhupantor	63.18
553	Cipfropewax	304.55
554	Winsipepor	490.80
555	Upquestegistor	223.54
556	Dopquesticator	273.62
557	Surpebower	158.98
558	Endglibar	462.12
559	Surglibentor	337.49
560	Cipvenegicator	248.20
561	Upcadan	67.19
562	Trumunaman	55.57
563	Fropickackistor	250.61
564	Zeezapexar	489.48
565	Monjubentor	324.21
566	Klitanor	449.43
567	Rappickin	68.39
568	Winzapepistor	299.63
569	Upsipicator	84.94
570	Barpickewor	237.97
571	Zeemunin	434.85
572	Monbanar	132.17
573	Winsipefar	403.22
574	Rapdimollover	67.19
575	Sursipax	271.77
576	Tupcadicentor	90.05
577	Enddudommantor	130.90
578	Supkilistor	226.59
579	Endwerpentor	4.42
580	Tuptanommar	277.15
581	Zeetanedover	246.42
582	Grotanupentor	150.46
583	Surrobax	257.88
584	Klinipor	149.19
585	Lomwerover	385.46
586	Tipwerower	120.55
587	Unweranower	76.36
588	Inbanistor	291.32
589	Endpeban	242.88
590	Varcadefover	11.43
591	Rewerantor	327.34
592	Frodimedgistor	254.99
593	Upsipexar	452.26
594	Upvenover	66.68
595	Thruhupistor	393.08
596	Qwiwerpar	358.07
597	Wintanantor	224.33
598	Undimexower	334.14
599	Suphupefazz	107.47
600	Qwifropor	454.01
601	Truhuponazz	172.69
602	Grohupupar	421.54
603	Thrupebedgower	45.68
604	Barerower	136.72
605	Unbanower	149.88
606	Zeehupaquex	171.08
607	Enderistor	159.96
608	Tippebex	238.36
609	Tipquestan	220.03
610	Endrobor	134.49
611	Tupjubefax	143.72
612	Ciptumamazz	432.39
613	Parquestepicator	458.70
614	Unvenower	61.34
615	Adpickin	2.79
616	Tipweredentor	416.73
617	Tippickepentor	297.69
618	Tuperin	102.43
619	Wineronistor	105.02
620	Truvenadicator	204.66
621	Endpickistor	374.08
622	Haptinentor	277.07
623	Trurobin	57.75
624	Tuptumonover	74.51
625	Frosipantor	410.64
626	Bardudexantor	180.87
627	Tipsipentor	179.92
628	Varkilex	337.54
629	Trubanor	174.11
630	Rerobar	413.70
631	Parjubupan	365.72
632	Cipdudonex	296.77
633	Supfropimex	120.12
634	Unpickicator	50.42
635	Barquestin	105.46
636	Cipdudedgar	324.88
637	Klisipicax	105.77
638	Emdimazz	122.15
639	Surjubentor	499.31
640	Uneredgex	215.38
641	Rebanicator	460.59
642	Lomglibistor	338.00
643	Rappebower	72.29
644	Parzapower	109.39
645	Rapsapefazz	367.71
646	Rewerpower	394.95
647	Tupnipantor	296.29
648	Surkilaquantor	391.92
649	Frosapistor	64.89
650	Thrudimommin	476.35
651	Qwidimefan	61.38
652	Varsipegex	122.90
653	Repebicator	230.12
654	Varerover	402.81
655	Trutumor	80.93
656	Emhupaquower	395.61
657	Ciperanar	364.79
658	Truhupegin	471.17
659	Trududazz	226.08
660	Lomvenentor	469.01
661	Thrumunantor	491.16
662	Dopmunamicator	322.42
663	Unpebover	65.24
664	Intinepazz	306.33
665	Requestan	268.77
666	Suptinedantor	346.95
667	Suppickan	313.27
668	Ciprobax	409.28
669	Thruhupower	455.87
670	Parpickor	177.90
671	Grotumower	311.96
672	Winjubentor	176.53
673	Lomtumopover	103.12
674	Surtumewover	389.64
675	Raptinefar	244.07
676	Trududantor	37.08
677	Surtumexicator	205.78
678	Zeeglibplentor	448.36
679	Klisapplax	206.80
680	Tipnipilistor	16.69
681	Fronipilax	384.58
682	Upcadazz	288.00
683	Monsapicator	273.65
684	Suptumex	197.76
685	Upfropentor	353.32
686	Hapvenan	243.82
687	Truhupower	67.65
688	Surtanicator	217.30
689	Grofropegicator	469.49
690	Qwidiman	209.85
691	Cipkilin	460.09
692	Rapsapegan	134.60
693	Monerexazz	396.07
694	Monpickar	31.29
695	Monglibadover	224.22
696	Vartinistor	139.17
697	Lomfropadicator	273.75
698	Unfropefover	265.96
699	Qwimunantor	340.62
700	Endkilaquin	21.77
701	Kliglibazz	82.67
702	Emnipentor	387.00
703	Barbanicator	436.05
704	Vardudaquan	386.99
705	Winjubedin	165.40
706	Supdudicator	384.85
707	Tipwerpin	20.78
708	Unsapilicator	340.48
709	Barwerilover	159.75
710	Hapfropar	44.85
711	Zeetuman	190.83
712	Hapbanedover	416.43
713	Grohupentor	265.37
714	Monglibedgantor	210.39
715	Zeepickewantor	85.43
716	Updudin	204.17
717	Parwerpantor	49.77
718	Insipor	367.49
719	Winjubedentor	453.02
720	Supkilower	25.95
721	Surerax	280.30
722	Zeetanewax	96.97
723	Hapcadimower	439.80
724	Barpickexistor	247.02
725	Ciptumimicator	217.81
726	Haphupax	178.35
727	Inkilin	280.47
728	Zeetumanax	72.83
729	Frodimedover	166.41
730	Winfropilover	105.90
731	Hapfropax	263.32
732	Tipvenicator	439.83
733	Rapcadover	108.74
734	Raptinantor	186.03
735	Uprobiman	434.02
736	Surjubanover	497.58
737	Endtumimower	351.95
738	Qwinipedicator	386.66
739	Cipcadanex	33.36
740	Tippebantor	468.47
741	Monnipaquor	224.04
742	Adquestanistor	227.17
743	Tipvenex	58.56
744	Winpickazz	425.64
745	Klieran	20.02
746	Thrujubex	44.67
747	Tupquestopentor	369.24
748	Barpeban	186.68
749	Endwerplicator	445.86
750	Dopmunazz	21.05
751	Superantor	90.40
752	Trukilin	406.27
753	Winsapar	312.94
754	Dopdudin	315.66
755	Cipbanar	241.47
756	Winpebplicator	485.70
757	Qwirobicator	447.21
758	Growerover	190.03
759	Inrobin	170.18
760	Trunipimover	487.04
761	Dopvenor	105.38
762	Adtumackover	447.95
763	Ciprobilar	175.07
764	Tupsapistor	54.85
765	Tipcadistor	281.53
766	Tipdudimex	251.00
767	Truzapaquover	308.68
768	Addimeficator	80.34
769	Varquesticator	276.37
770	Tipsapazz	87.85
771	Grodimewicator	352.22
772	Hapwerpilor	163.11
773	Tupdudover	335.13
774	Winkilackantor	484.55
775	Rapvenanazz	301.91
776	Doprobazz	54.13
777	Zeebanover	39.41
778	Truerazz	15.16
779	Zeehupantor	228.00
780	Qwipebicex	174.14
781	Frofropefex	309.12
782	Suppebazz	94.79
783	Addudefistor	126.97
784	Frotanackicator	146.36
785	Truwerpantor	16.50
786	Unzapican	357.06
787	Rebanackover	127.89
788	Kliweraquax	293.08
789	Lomhupewar	444.57
790	Trutumistor	448.32
791	Tippebantor	51.37
792	Inbanistor	162.93
793	Grorobeficator	217.49
794	Rapdimower	46.32
795	Suptumilantor	364.09
796	Aderin	276.09
797	Supsapommistor	53.10
798	Reglibax	4.71
799	Updudinax	145.11
800	Varbanollax	269.02
801	Rappeban	235.98
802	Unglibplax	289.90
803	Hapdudopower	410.31
804	Grohuponantor	359.01
805	Truhupinan	168.84
806	Cipwerentor	427.29
807	Lompebar	72.14
808	Cipweradicator	328.39
809	Endglibicator	14.75
810	Rezapupex	188.34
811	Empebazz	447.29
812	Raprobantor	433.04
813	Zeeglibamor	462.02
814	Wintanex	496.03
815	Tuppebar	178.93
816	Unvenadower	11.59
817	Trucadackex	321.99
818	Tipdimistor	29.71
819	Rewerover	39.35
820	Endkilazz	424.47
821	Tupvenax	124.11
822	Doptumaquar	16.60
823	Uphupegantor	135.77
824	Grosipistor	328.06
825	Tiprobower	37.48
826	Qwieredin	190.29
827	Zeetumar	445.62
828	Lompickicator	289.81
829	Endpickover	121.46
830	Bartumax	26.83
831	Upvenazz	2.03
832	Emmunor	35.70
833	Unquestadazz	370.06
834	Cippickewor	458.98
835	Ciptanopin	438.16
836	Supsapor	20.22
837	Indudistor	184.48
838	Tipzapin	267.96
839	Endrobonentor	477.52
840	Winvenexistor	89.21
841	Rapdimplantor	285.91
842	Zeedimazz	299.50
843	Addimexan	279.33
844	Tiphupicator	257.23
845	Thrucadadan	2.02
846	Klifroponin	118.33
847	Suptinonover	200.90
848	Thrubanilar	221.45
849	Grosipupicator	367.39
850	Lomrobedgar	353.49
851	Monglibewar	454.10
852	Uphupommentor	24.40
853	Tupfropex	465.36
854	Updimin	220.63
855	Doptinamax	145.91
856	Kliquestopicator	220.38
857	Bartinazz	155.13
858	Surfropedentor	83.25
859	Hapfropover	322.52
860	Qwirobepax	478.55
861	Parwerpanover	481.67
862	Unwerpower	282.33
863	Barzapax	207.93
864	Surerupicator	487.93
865	Qwitumonax	187.31
866	Emrobegan	412.59
867	Winsipover	63.99
868	Truhupollantor	4.04
869	Endwerpilower	58.87
870	Emwerommar	159.71
871	Haptanex	327.11
872	Monvenover	55.02
873	Supsapax	52.18
874	Monhupazz	450.14
875	Thrupickefazz	139.56
876	Emkilover	324.61
877	Truquestantor	237.28
878	Rejubover	378.54
879	Recadan	327.03
880	Cipdudentor	419.15
881	Klisapedgicator	489.39
882	Endtinanar	225.17
883	Emhupador	422.42
884	Emwerpistor	267.97
885	Ciptinedgan	72.73
886	Adpebax	477.63
887	Varpickex	70.34
888	Barcadopax	150.43
889	Vartanover	314.07
890	Endsipazz	218.79
891	Qwiquestazz	365.09
892	Cipmunantor	102.23
893	Raptinplover	445.44
894	Qwiquestistor	498.97
895	Lomjubanicator	107.54
896	Trutinimicator	4.58
897	Untanepistor	92.57
898	Upjubanin	291.40
899	Cipsapadover	70.92
900	Monglibollistor	89.43
901	Doperax	55.34
902	Tupjubicator	197.86
903	Lomnipegor	163.58
904	Frotumar	208.68
905	Emweredar	27.38
906	Supcadewax	400.08
907	Pardudewantor	472.21
908	Qwirobantor	16.23
909	Tipfropor	82.07
910	Emglibex	321.30
911	Surtanin	483.10
912	Frowerpanar	276.59
913	Rapbanefower	256.22
914	Rewerpepazz	403.37
915	Parquestexistor	489.16
916	Supdimilin	257.50
917	Tiptanackar	359.91
918	Endpickegantor	439.96
919	Thrududistor	416.20
920	Zeequestar	209.67
921	Varericator	343.26
922	Winglibower	413.56
923	Frotumilax	189.97
924	Unkilepazz	340.08
925	Untumegistor	294.62
926	Monquestover	225.88
927	Rerobazz	109.58
928	Wincadar	53.21
929	Tupcadover	343.60
930	Varpebexin	135.98
931	Endpebamin	233.04
932	Tipcadopover	445.88
933	Varjubor	308.61
934	Froerommax	238.60
935	Lomvenplax	364.81
936	Qwiquestefar	292.53
937	Winhupantor	62.59
938	Surglibonistor	214.74
939	Dopvenazz	241.58
940	Infropewor	172.65
941	Winjubex	6.42
942	Surdimewax	55.11
943	Klidudor	69.35
944	Rapmunover	492.77
945	Klibanazz	235.69
946	Upjubazz	89.49
947	Hapkilazz	346.01
948	Untanollistor	43.07
949	Inhupistor	10.82
950	Montinanazz	350.04
951	Lomglibor	144.67
952	Barjubepin	152.60
953	Addimicazz	375.20
954	Tippickollentor	361.25
955	Winmunower	246.17
956	Winsapimax	141.78
957	Cipwerpefor	8.89
958	Vartumor	323.50
959	Enddimewex	414.06
960	Reeran	301.50
961	Truhupazz	291.49
962	Endbanazz	420.00
963	Lomtanewistor	172.63
964	Tipfropor	446.09
965	Tipvenicator	89.25
966	Thruerepower	38.22
967	Mondimplin	467.98
968	Supjubamover	18.62
969	Hapjubar	39.56
970	Undimicar	197.63
971	Cipvenadicator	195.91
972	Cipglibplan	146.18
973	Zeedudistor	199.38
974	Hapmunover	244.55
975	Lomzapistor	204.25
976	Thrunipamover	289.14
977	Insapower	345.21
978	Tipdimar	197.20
979	Refropicator	105.40
980	Surpebonazz	206.13
981	Dopsipover	379.86
982	Partanamover	67.51
983	Adpickin	43.39
984	Varvenex	493.56
985	Resapedar	491.31
986	Zeesapedar	81.44
987	Qwitinistor	71.68
988	Doperinantor	447.37
989	Hapbanexistor	492.43
990	Lomwerpepex	224.02
991	Dophuponax	284.65
992	Hapsipefor	239.09
993	Surerefistor	300.68
994	Suppickaquax	440.08
995	Monpebar	381.16
996	Barmunin	86.42
997	Supwerpexax	382.49
998	Winerentor	123.26
999	Fropickentor	404.52
1000	Zeesipplax	198.47
1001	Qwipebollazz	121.51
1002	Winnipewover	328.40
1003	Klivenewentor	4.51
1004	Winpebover	313.19
1005	Tipwerpedentor	155.12
1006	Trudimefantor	498.49
1007	Montinar	453.22
1008	Wintinamower	131.65
1009	Winhupimor	158.00
1010	Emmunax	457.03
1011	Supmunistor	296.58
1012	Thrufroponar	311.69
1013	Retumover	219.10
1014	Hapvenax	208.93
1015	Retinar	421.64
1016	Addimentor	224.98
1017	Qwipickewan	377.61
1018	Pardimanin	179.07
1019	Inzapefistor	454.78
1020	Requestex	8.82
1021	Klihupommantor	466.54
1022	Lomvenedgicator	21.61
1023	Adrobilower	26.19
1024	Lomsipistor	315.54
1025	Tipwerar	412.98
1026	Wintanentor	456.83
1027	Trukilefentor	345.50
1028	Grosipackistor	259.30
1029	Supsapegin	363.40
1030	Hapmunor	118.83
1031	Varwerpimover	406.66
1032	Trududistor	222.94
1033	Uncadimazz	292.68
1034	Retanex	406.93
1035	Emnipegower	85.62
1036	Qwibanar	52.47
1037	Barglibupover	64.01
1038	Parrobentor	230.20
1039	Varhupefistor	339.44
1040	Monfropupan	492.82
1041	Qwisipommover	128.22
1042	Adbanexan	440.03
1043	Adrobewazz	290.37
1044	Unrobedgax	36.40
1045	Adnipepover	427.45
1046	Rapbanazz	472.96
1047	Monjubex	20.99
1048	Qwikilplex	92.75
1049	Emdimin	19.44
1050	Rapkilax	157.17
1051	Inpickantor	208.82
1052	Zeewerazz	204.42
1053	Enddimanazz	168.48
1054	Trubanepan	396.70
1055	Rekiledistor	231.92
1056	Grovenexistor	100.90
