date_ad	campaign
2004-12-19	Art with an attitude.
2005-01-01	Art with an attitude.
2005-01-05	Art with an attitude.
2005-02-01	Art with an attitude.
2005-02-22	Art with an attitude.
2005-04-03	Art with an attitude.
2005-04-22	Art with an attitude.
2005-04-30	Art with an attitude.
2005-05-01	Art with an attitude.
2005-05-12	Art with an attitude.
2005-05-14	Art with an attitude.
2005-05-15	Art with an attitude.
2005-05-16	Art with an attitude.
2005-05-23	Art with an attitude.
2005-05-25	Art with an attitude.
2005-06-17	Art with an attitude.
2005-06-19	Art with an attitude.
2005-06-23	Art with an attitude.
2005-06-29	Art with an attitude.
2005-07-03	Art with an attitude.
2005-07-09	Art with an attitude.
2005-07-16	Art with an attitude.
2005-08-24	Art with an attitude.
2005-08-30	Art with an attitude.
2005-09-01	Art with an attitude.
2005-09-06	Art with an attitude.
2005-09-08	Art with an attitude.
2005-09-10	Art with an attitude.
2005-09-15	Art with an attitude.
2005-09-22	Art with an attitude.
2005-09-26	Art with an attitude.
2005-10-09	Art with an attitude.
2005-10-10	Art with an attitude.
2005-10-18	Art with an attitude.
2005-12-07	Art with an attitude.
2005-12-10	Art with an attitude.
2005-12-14	Art with an attitude.
2005-12-20	Art with an attitude.
2005-12-21	Art with an attitude.
2005-12-30	Art with an attitude.
2006-01-12	Art with an attitude.
2006-01-25	Art with an attitude.
2006-02-20	Art with an attitude.
2006-03-18	Art with an attitude.
2006-03-20	Art with an attitude.
2006-03-28	Art with an attitude.
2006-04-28	Art with an attitude.
2006-04-29	Art with an attitude.
2006-05-14	Art with an attitude.
2006-06-15	Art with an attitude.
2006-07-06	Art with an attitude.
2006-07-20	Art with an attitude.
2006-07-25	Art with an attitude.
2006-08-12	Art with an attitude.
2006-08-16	Art with an attitude.
2006-09-17	Art with an attitude.
2006-09-26	Art with an attitude.
2006-09-27	Art with an attitude.
2006-10-09	Art with an attitude.
2006-10-13	Art with an attitude.
2006-10-14	Art with an attitude.
2006-10-16	Art with an attitude.
2006-10-17	Art with an attitude.
2006-11-03	Art with an attitude.
2006-11-07	Art with an attitude.
2006-11-20	Art with an attitude.
2006-12-06	Art with an attitude.
2006-12-18	Art with an attitude.
2007-01-06	Art with an attitude.
2007-01-11	Art with an attitude.
2007-01-19	Art with an attitude.
2007-01-27	Art with an attitude.
2007-02-17	Art with an attitude.
2007-03-09	Art with an attitude.
2007-03-12	Art with an attitude.
2007-03-14	Art with an attitude.
2007-03-15	Art with an attitude.
2007-03-31	Art with an attitude.
2007-04-02	Art with an attitude.
2007-04-03	Art with an attitude.
2007-04-23	Art with an attitude.
2007-04-27	Art with an attitude.
2007-04-29	Art with an attitude.
2007-05-18	Art with an attitude.
2007-05-19	Art with an attitude.
2007-06-03	Art with an attitude.
2007-06-04	Art with an attitude.
2007-06-06	Art with an attitude.
2007-06-28	Art with an attitude.
2007-07-01	Art with an attitude.
2007-07-04	Art with an attitude.
2007-07-09	Art with an attitude.
2007-07-20	Art with an attitude.
2007-07-24	Art with an attitude.
2007-07-25	Art with an attitude.
2007-07-31	Art with an attitude.
2007-08-10	Art with an attitude.
2007-08-22	Art with an attitude.
2007-08-27	Art with an attitude.
2007-09-13	Art with an attitude.
2007-09-18	Art with an attitude.
2007-09-20	Art with an attitude.
2007-09-30	Art with an attitude.
2007-10-07	Art with an attitude.
2007-10-17	Art with an attitude.
2007-10-23	Art with an attitude.
2007-10-31	Art with an attitude.
2007-11-12	Art with an attitude.
2007-11-16	Art with an attitude.
2007-12-04	Art with an attitude.
2007-12-05	Art with an attitude.
2007-12-14	Art with an attitude.
2007-12-28	Art with an attitude.
2008-01-03	Art with an attitude.
2008-01-05	Art with an attitude.
2008-01-07	Art with an attitude.
2008-02-09	Art with an attitude.
2008-02-23	Art with an attitude.
2008-03-16	Art with an attitude.
2008-03-25	Art with an attitude.
2008-03-27	Art with an attitude.
2008-04-04	Art with an attitude.
2008-04-14	Art with an attitude.
2008-04-15	Art with an attitude.
2008-04-28	Art with an attitude.
2008-05-08	Art with an attitude.
2008-05-24	Art with an attitude.
2008-06-01	Art with an attitude.
2008-06-05	Art with an attitude.
2008-06-28	Art with an attitude.
2008-07-29	Art with an attitude.
2008-08-01	Art with an attitude.
2008-08-02	Art with an attitude.
2008-08-05	Art with an attitude.
2008-08-17	Art with an attitude.
2008-08-22	Art with an attitude.
2008-09-07	Art with an attitude.
2008-09-10	Art with an attitude.
2008-09-21	Art with an attitude.
2008-09-23	Art with an attitude.
2008-09-26	Art with an attitude.
2008-10-02	Art with an attitude.
2008-10-11	Art with an attitude.
2008-10-16	Art with an attitude.
2008-10-18	Art with an attitude.
2008-11-19	Art with an attitude.
2008-12-16	Art with an attitude.
2008-12-19	Art with an attitude.
2008-12-21	Art with an attitude.
2008-12-23	Art with an attitude.
2009-01-14	Art with an attitude.
2009-01-15	Art with an attitude.
2009-01-16	Art with an attitude.
2009-01-28	Art with an attitude.
2009-02-01	Art with an attitude.
2009-02-14	Art with an attitude.
2009-02-19	Art with an attitude.
2009-02-23	Art with an attitude.
2009-03-19	Art with an attitude.
2009-03-22	Art with an attitude.
2009-03-24	Art with an attitude.
2009-03-27	Art with an attitude.
2009-03-29	Art with an attitude.
2009-04-11	Art with an attitude.
2009-04-17	Art with an attitude.
2009-04-28	Art with an attitude.
2009-05-20	Art with an attitude.
2009-05-25	Art with an attitude.
2009-05-27	Art with an attitude.
2009-06-02	Art with an attitude.
2009-06-17	Art with an attitude.
2009-06-30	Art with an attitude.
2009-07-28	Art with an attitude.
2009-08-13	Art with an attitude.
2009-08-26	Art with an attitude.
2009-08-30	Art with an attitude.
2009-09-06	Art with an attitude.
2009-09-08	Art with an attitude.
2009-09-09	Art with an attitude.
2009-09-11	Art with an attitude.
2009-09-14	Art with an attitude.
2009-10-02	Art with an attitude.
2009-10-12	Art with an attitude.
2009-10-17	Art with an attitude.
2009-10-19	Art with an attitude.
2009-10-28	Art with an attitude.
2009-11-10	Art with an attitude.
2009-11-16	Art with an attitude.
2009-11-19	Art with an attitude.
2009-11-24	Art with an attitude.
2009-12-20	Art with an attitude.
2009-12-26	Art with an attitude.
2009-12-28	Art with an attitude.
2010-01-10	Art with an attitude.
2010-02-21	Art with an attitude.
2010-02-22	Art with an attitude.
2010-02-23	Art with an attitude.
2010-02-24	Art with an attitude.
2010-03-05	Art with an attitude.
2010-03-17	Art with an attitude.
2010-03-25	Art with an attitude.
2010-05-09	Art with an attitude.
2010-05-11	Art with an attitude.
2010-05-14	Art with an attitude.
2010-05-20	Art with an attitude.
2010-05-28	Art with an attitude.
2010-06-01	Art with an attitude.
2010-06-12	Art with an attitude.
2010-06-25	Art with an attitude.
2010-06-27	Art with an attitude.
2010-07-19	Art with an attitude.
2010-08-01	Art with an attitude.
2010-08-06	Art with an attitude.
2010-08-15	Art with an attitude.
2010-08-24	Art with an attitude.
2010-09-11	Art with an attitude.
2010-09-15	Art with an attitude.
2010-09-20	Art with an attitude.
2010-09-23	Art with an attitude.
2010-09-26	Art with an attitude.
2010-10-07	Art with an attitude.
2010-10-16	Art with an attitude.
2010-10-29	Art with an attitude.
2010-11-16	Art with an attitude.
2010-11-19	Art with an attitude.
2010-11-25	Art with an attitude.
2010-12-13	Art with an attitude.
2010-12-26	Art with an attitude.
2010-12-27	Art with an attitude.
2011-01-01	Art with an attitude.
2011-01-02	Art with an attitude.
2011-01-15	Art with an attitude.
2011-01-22	Art with an attitude.
2011-01-29	Art with an attitude.
2011-01-31	Art with an attitude.
2011-02-01	Art with an attitude.
2011-02-06	Art with an attitude.
2011-02-07	Art with an attitude.
2011-02-13	Art with an attitude.
2011-02-20	Art with an attitude.
2011-02-24	Art with an attitude.
2011-02-25	Art with an attitude.
2011-03-13	Art with an attitude.
2011-04-11	Art with an attitude.
2011-04-14	Art with an attitude.
2011-04-29	Art with an attitude.
2011-05-01	Art with an attitude.
2011-05-05	Art with an attitude.
2011-05-10	Art with an attitude.
2011-05-17	Art with an attitude.
2011-06-01	Art with an attitude.
2011-06-05	Art with an attitude.
2011-06-06	Art with an attitude.
2011-06-18	Art with an attitude.
2011-06-25	Art with an attitude.
2011-07-04	Art with an attitude.
2011-07-14	Art with an attitude.
2011-07-16	Art with an attitude.
2011-08-07	Art with an attitude.
2011-08-14	Art with an attitude.
2011-08-19	Art with an attitude.
2011-08-20	Art with an attitude.
2011-10-19	Art with an attitude.
2011-11-05	Art with an attitude.
2011-11-21	Art with an attitude.
2011-12-03	Art with an attitude.
2011-12-12	Art with an attitude.
2011-12-19	Art with an attitude.
2012-01-04	Art with an attitude.
2012-02-27	Art with an attitude.
2012-02-28	Art with an attitude.
2012-03-12	Art with an attitude.
2012-04-05	Art with an attitude.
2012-04-09	Art with an attitude.
2012-04-13	Art with an attitude.
2012-04-15	Art with an attitude.
2012-04-18	Art with an attitude.
2012-04-29	Art with an attitude.
2012-05-02	Art with an attitude.
2012-05-18	Art with an attitude.
2012-06-10	Art with an attitude.
2012-06-17	Art with an attitude.
2012-06-29	Art with an attitude.
2000-01-16	Best art with the best attitude.
2000-01-20	Best art with the best attitude.
2000-02-01	Best art with the best attitude.
2000-02-04	Best art with the best attitude.
2000-02-16	Best art with the best attitude.
2000-02-17	Best art with the best attitude.
2000-02-25	Best art with the best attitude.
2000-03-10	Best art with the best attitude.
2000-03-20	Best art with the best attitude.
2000-03-23	Best art with the best attitude.
2000-04-26	Best art with the best attitude.
2000-05-04	Best art with the best attitude.
2000-05-05	Best art with the best attitude.
2000-05-07	Best art with the best attitude.
2000-05-09	Best art with the best attitude.
2000-05-13	Best art with the best attitude.
2000-05-20	Best art with the best attitude.
2000-05-24	Best art with the best attitude.
2000-05-27	Best art with the best attitude.
2000-06-02	Best art with the best attitude.
2000-06-06	Best art with the best attitude.
2000-06-30	Best art with the best attitude.
2000-07-03	Best art with the best attitude.
2000-07-13	Best art with the best attitude.
2000-07-28	Best art with the best attitude.
2000-07-29	Best art with the best attitude.
2000-08-15	Best art with the best attitude.
2000-09-05	Best art with the best attitude.
2000-09-14	Best art with the best attitude.
2000-09-17	Best art with the best attitude.
2000-09-28	Best art with the best attitude.
2000-10-03	Best art with the best attitude.
2000-10-08	Best art with the best attitude.
2000-10-12	Best art with the best attitude.
2000-10-24	Best art with the best attitude.
2000-10-25	Best art with the best attitude.
2000-11-01	Best art with the best attitude.
2000-11-09	Best art with the best attitude.
2000-11-15	Best art with the best attitude.
2000-11-17	Best art with the best attitude.
2000-11-27	Best art with the best attitude.
2000-12-01	Best art with the best attitude.
2000-12-13	Best art with the best attitude.
2001-03-15	Best art with the best attitude.
2001-04-20	Best art with the best attitude.
2001-04-24	Best art with the best attitude.
2001-05-03	Best art with the best attitude.
2001-05-10	Best art with the best attitude.
2001-05-15	Best art with the best attitude.
2001-06-04	Best art with the best attitude.
2001-06-18	Best art with the best attitude.
2001-06-25	Best art with the best attitude.
2001-07-09	Best art with the best attitude.
2001-08-01	Best art with the best attitude.
2001-08-06	Best art with the best attitude.
2001-08-10	Best art with the best attitude.
2001-08-21	Best art with the best attitude.
2001-08-24	Best art with the best attitude.
2001-09-06	Best art with the best attitude.
2001-09-09	Best art with the best attitude.
2001-09-14	Best art with the best attitude.
2001-10-10	Best art with the best attitude.
2001-10-29	Best art with the best attitude.
2001-11-23	Best art with the best attitude.
2001-12-01	Best art with the best attitude.
2001-12-06	Best art with the best attitude.
2001-12-18	Best art with the best attitude.
2001-12-23	Best art with the best attitude.
2002-01-02	Best art with the best attitude.
2002-01-21	Best art with the best attitude.
2002-01-28	Best art with the best attitude.
2002-01-29	Best art with the best attitude.
2002-02-12	Best art with the best attitude.
2002-02-19	Best art with the best attitude.
2002-02-25	Best art with the best attitude.
2002-03-01	Best art with the best attitude.
2002-03-07	Best art with the best attitude.
2002-03-15	Best art with the best attitude.
2002-03-18	Best art with the best attitude.
2002-03-19	Best art with the best attitude.
2002-03-29	Best art with the best attitude.
2002-04-01	Best art with the best attitude.
2002-04-13	Best art with the best attitude.
2002-04-15	Best art with the best attitude.
2002-04-18	Best art with the best attitude.
2002-04-23	Best art with the best attitude.
2002-04-24	Best art with the best attitude.
2002-04-30	Best art with the best attitude.
2002-05-03	Best art with the best attitude.
2002-05-07	Best art with the best attitude.
2002-05-10	Best art with the best attitude.
2002-05-27	Best art with the best attitude.
2002-06-05	Best art with the best attitude.
2002-06-10	Best art with the best attitude.
2002-06-15	Best art with the best attitude.
2002-06-17	Best art with the best attitude.
2002-06-26	Best art with the best attitude.
2002-07-13	Best art with the best attitude.
2002-07-20	Best art with the best attitude.
2002-07-25	Best art with the best attitude.
2002-07-27	Best art with the best attitude.
2002-07-31	Best art with the best attitude.
2002-08-06	Best art with the best attitude.
2002-08-28	Best art with the best attitude.
2002-09-14	Best art with the best attitude.
2002-09-29	Best art with the best attitude.
2002-10-20	Best art with the best attitude.
2002-11-12	Best art with the best attitude.
2002-11-17	Best art with the best attitude.
2002-11-25	Best art with the best attitude.
2002-12-02	Best art with the best attitude.
2002-12-07	Best art with the best attitude.
2003-01-06	Best art with the best attitude.
2003-01-25	Best art with the best attitude.
2003-02-10	Best art with the best attitude.
2003-02-17	Best art with the best attitude.
2003-03-09	Best art with the best attitude.
2003-03-12	Best art with the best attitude.
2003-03-18	Best art with the best attitude.
2003-04-11	Best art with the best attitude.
2003-04-23	Best art with the best attitude.
2003-04-30	Best art with the best attitude.
2003-05-07	Best art with the best attitude.
2003-05-21	Best art with the best attitude.
2003-05-24	Best art with the best attitude.
2003-05-28	Best art with the best attitude.
2003-06-03	Best art with the best attitude.
2003-06-07	Best art with the best attitude.
2003-06-16	Best art with the best attitude.
2003-06-26	Best art with the best attitude.
2003-07-05	Best art with the best attitude.
2003-07-11	Best art with the best attitude.
2003-07-20	Best art with the best attitude.
2003-07-23	Best art with the best attitude.
2003-07-29	Best art with the best attitude.
2003-08-01	Best art with the best attitude.
2003-08-04	Best art with the best attitude.
2003-08-10	Best art with the best attitude.
2003-08-18	Best art with the best attitude.
2003-08-24	Best art with the best attitude.
2003-08-28	Best art with the best attitude.
2003-09-13	Best art with the best attitude.
2003-09-20	Best art with the best attitude.
2003-09-29	Best art with the best attitude.
2003-10-10	Best art with the best attitude.
2003-10-12	Best art with the best attitude.
2003-11-08	Best art with the best attitude.
2003-12-06	Best art with the best attitude.
2003-12-12	Best art with the best attitude.
2003-12-26	Best art with the best attitude.
2003-12-29	Best art with the best attitude.
2004-01-02	Best art with the best attitude.
2004-01-03	Best art with the best attitude.
2004-02-15	Best art with the best attitude.
2004-02-19	Best art with the best attitude.
2004-02-22	Best art with the best attitude.
2004-03-03	Best art with the best attitude.
2004-03-11	Best art with the best attitude.
2004-03-12	Best art with the best attitude.
2004-03-22	Best art with the best attitude.
2004-03-23	Best art with the best attitude.
2004-03-31	Best art with the best attitude.
2004-04-01	Best art with the best attitude.
2004-04-03	Best art with the best attitude.
2004-04-05	Best art with the best attitude.
2004-04-06	Best art with the best attitude.
2004-04-10	Best art with the best attitude.
2004-04-25	Best art with the best attitude.
2004-05-06	Best art with the best attitude.
2004-05-09	Best art with the best attitude.
2004-05-15	Best art with the best attitude.
2004-05-26	Best art with the best attitude.
2004-05-27	Best art with the best attitude.
2004-05-28	Best art with the best attitude.
2004-05-29	Best art with the best attitude.
2004-06-06	Best art with the best attitude.
2004-06-07	Best art with the best attitude.
2004-06-10	Best art with the best attitude.
2004-06-18	Best art with the best attitude.
2004-07-18	Best art with the best attitude.
2004-07-20	Best art with the best attitude.
2004-08-03	Best art with the best attitude.
2004-08-12	Best art with the best attitude.
2004-08-15	Best art with the best attitude.
2004-08-28	Best art with the best attitude.
2004-09-11	Best art with the best attitude.
2004-09-12	Best art with the best attitude.
2004-09-29	Best art with the best attitude.
2004-10-05	Best art with the best attitude.
2004-10-06	Best art with the best attitude.
2004-10-16	Best art with the best attitude.
2004-11-14	Best art with the best attitude.
2004-11-16	Best art with the best attitude.
2004-11-17	Best art with the best attitude.
2004-12-04	Best art with the best attitude.
2005-01-01	Best art with the best attitude.
2005-01-12	Best art with the best attitude.
2005-02-08	Best art with the best attitude.
2005-02-09	Best art with the best attitude.
2005-02-15	Best art with the best attitude.
2005-03-11	Best art with the best attitude.
2005-03-23	Best art with the best attitude.
2005-04-22	Best art with the best attitude.
2005-04-23	Best art with the best attitude.
2005-04-24	Best art with the best attitude.
2005-05-01	Best art with the best attitude.
2005-05-15	Best art with the best attitude.
2005-05-26	Best art with the best attitude.
2005-06-03	Best art with the best attitude.
2005-06-05	Best art with the best attitude.
2005-06-11	Best art with the best attitude.
2005-06-16	Best art with the best attitude.
2005-06-26	Best art with the best attitude.
2005-07-04	Best art with the best attitude.
2005-07-07	Best art with the best attitude.
2005-07-13	Best art with the best attitude.
2005-07-17	Best art with the best attitude.
2005-07-29	Best art with the best attitude.
2005-07-30	Best art with the best attitude.
2005-08-09	Best art with the best attitude.
2005-08-30	Best art with the best attitude.
2005-09-05	Best art with the best attitude.
2005-09-13	Best art with the best attitude.
2005-09-21	Best art with the best attitude.
2005-09-26	Best art with the best attitude.
2005-09-27	Best art with the best attitude.
2005-09-29	Best art with the best attitude.
2005-09-30	Best art with the best attitude.
2005-10-02	Best art with the best attitude.
2005-10-24	Best art with the best attitude.
2005-11-02	Best art with the best attitude.
2005-11-19	Best art with the best attitude.
2005-11-29	Best art with the best attitude.
2005-12-07	Best art with the best attitude.
2006-01-04	Best art with the best attitude.
2006-01-06	Best art with the best attitude.
2006-01-14	Best art with the best attitude.
2006-01-19	Best art with the best attitude.
2006-02-06	Best art with the best attitude.
2006-02-23	Best art with the best attitude.
2006-02-24	Best art with the best attitude.
2006-03-02	Best art with the best attitude.
2006-03-08	Best art with the best attitude.
2006-03-13	Best art with the best attitude.
2006-05-06	Best art with the best attitude.
2006-05-14	Best art with the best attitude.
2006-05-16	Best art with the best attitude.
2006-06-06	Best art with the best attitude.
2006-06-12	Best art with the best attitude.
2006-06-18	Best art with the best attitude.
2006-06-19	Best art with the best attitude.
2006-06-21	Best art with the best attitude.
2006-06-23	Best art with the best attitude.
2006-06-27	Best art with the best attitude.
2006-07-03	Best art with the best attitude.
2006-07-06	Best art with the best attitude.
2006-07-15	Best art with the best attitude.
2006-07-25	Best art with the best attitude.
2006-07-28	Best art with the best attitude.
2006-07-29	Best art with the best attitude.
2006-08-11	Best art with the best attitude.
2006-08-12	Best art with the best attitude.
2006-09-19	Best art with the best attitude.
2006-09-23	Best art with the best attitude.
2006-10-03	Best art with the best attitude.
2006-10-05	Best art with the best attitude.
2006-10-18	Best art with the best attitude.
2006-10-20	Best art with the best attitude.
2006-10-22	Best art with the best attitude.
2006-11-10	Best art with the best attitude.
2006-12-03	Best art with the best attitude.
2006-12-17	Best art with the best attitude.
2007-01-01	Best art with the best attitude.
2007-01-05	Best art with the best attitude.
2007-01-11	Best art with the best attitude.
2007-01-15	Best art with the best attitude.
2007-02-17	Best art with the best attitude.
2007-03-02	Best art with the best attitude.
2007-03-07	Best art with the best attitude.
2007-03-11	Best art with the best attitude.
2007-03-13	Best art with the best attitude.
2007-03-14	Best art with the best attitude.
2007-03-15	Best art with the best attitude.
2007-03-27	Best art with the best attitude.
2007-03-31	Best art with the best attitude.
2007-04-12	Best art with the best attitude.
2007-04-26	Best art with the best attitude.
2007-04-27	Best art with the best attitude.
2007-05-03	Best art with the best attitude.
2007-05-12	Best art with the best attitude.
2007-05-18	Best art with the best attitude.
2007-06-22	Best art with the best attitude.
2007-06-28	Best art with the best attitude.
2007-07-04	Best art with the best attitude.
2007-07-09	Best art with the best attitude.
2007-07-23	Best art with the best attitude.
2007-07-29	Best art with the best attitude.
2007-08-03	Best art with the best attitude.
2007-08-10	Best art with the best attitude.
2007-08-20	Best art with the best attitude.
2007-08-21	Best art with the best attitude.
2007-08-28	Best art with the best attitude.
2007-09-01	Best art with the best attitude.
2007-09-03	Best art with the best attitude.
2007-09-22	Best art with the best attitude.
2007-09-25	Best art with the best attitude.
2007-09-29	Best art with the best attitude.
2007-10-02	Best art with the best attitude.
2007-10-21	Best art with the best attitude.
2007-10-30	Best art with the best attitude.
2007-11-20	Best art with the best attitude.
2008-01-03	Best art with the best attitude.
2008-01-06	Best art with the best attitude.
2008-01-07	Best art with the best attitude.
2008-01-18	Best art with the best attitude.
2008-01-25	Best art with the best attitude.
2008-02-15	Best art with the best attitude.
2008-02-18	Best art with the best attitude.
2008-02-21	Best art with the best attitude.
2008-02-26	Best art with the best attitude.
2008-02-29	Best art with the best attitude.
2008-04-04	Best art with the best attitude.
2008-04-06	Best art with the best attitude.
2008-05-04	Best art with the best attitude.
2008-05-08	Best art with the best attitude.
2008-05-18	Best art with the best attitude.
2008-05-21	Best art with the best attitude.
2008-05-31	Best art with the best attitude.
2008-06-06	Best art with the best attitude.
2008-06-29	Best art with the best attitude.
2008-07-01	Best art with the best attitude.
2008-07-04	Best art with the best attitude.
2008-07-25	Best art with the best attitude.
2008-08-05	Best art with the best attitude.
2008-08-15	Best art with the best attitude.
2008-08-20	Best art with the best attitude.
2008-08-31	Best art with the best attitude.
2008-09-06	Best art with the best attitude.
2008-09-07	Best art with the best attitude.
2008-09-10	Best art with the best attitude.
2008-09-20	Best art with the best attitude.
2008-09-21	Best art with the best attitude.
2008-09-22	Best art with the best attitude.
2008-09-23	Best art with the best attitude.
2008-09-29	Best art with the best attitude.
2008-10-16	Best art with the best attitude.
2008-10-26	Best art with the best attitude.
2008-11-07	Best art with the best attitude.
2008-12-20	Best art with the best attitude.
