storeid	phone	address	cityname	state	restaurant	snackbar	childcare_time
169	228-597-6856	249 Fabien Parkway	Atlanta	AR	0	1	45
170	443-401-4459	58 Old Way	Cincinnati	MA	1	0	60
171	436-843-0337	879 Milton Freeway	Los Angeles	KS	1	1	45
172	(856) 036-4808	301 West Nobel Blvd.	Montgomery	VA	1	1	30
173	738-981-2284	983 Hague Drive	San Francisco	NE	1	0	
174	401-023-7786	707 Green First Blvd.	Philadelphia	MO	1	1	
175	(973) 837-4672	378 East Second Avenue	Anchorage	MO	1	0	45
176	330-471-6383	389 Milton Boulevard	Aurora	WA	1	1	60
177	507-523-9864	49 First Drive	Madison	SC	1	0	60
178	(549) 475-7214	25 South Oak Street	Tampa	NE	0	1	45
179	001-880-9364	72 Second Road	Mobile	OH	1	1	60
180	(429) 638-3087	283 Green Cowley Parkway	Oakland	ME	1	0	45
181	(342) 573-6162	330 Rocky Nobel Street	San Diego	IA	1	1	
182	551-479-2073	11 North Green Oak Parkway	Jersey	WY	1	1	30
183	616-680-1595	590 East Second Way	Hialeah	NM	1	1	
184	583-576-8825	852 East Fabien Way	Jersey	VT	0	1	60
185	(113) 042-4659	41 White Fabien Road	Yonkers	LA	1	1	45
186	(460) 149-7279	88 East Hague Blvd.	Richmond	PA	0	1	60
187	(377) 513-1640	43 Second Freeway	El Paso	FL	1	1	60
188	(479) 653-7348	14 Rocky Hague Parkway	Shreveport	TX	1	0	60
189	404-141-8539	10 Fabien Road	Aurora	NY	1	1	45
190	434-180-3137	853 Hague St.	Montgomery	SC	1	0	30
191	046-254-2488	46 Fabien Way	Austin	AR	1	1	30
192	832-776-8360	47 Rocky Oak Drive	Fort Worth	MA	0	0	45
193	636-806-9672	74 New Drive	Fremont	PA	0	0	
194	(101) 021-9797	76 East First Drive	Corpus Christi	IN	1	0	30
195	(530) 804-7498	899 Nobel Street	Colorado	MD	1	1	60
196	(469) 732-1304	953 North Fabien Parkway	Kansas	NH	1	0	
197	(394) 509-5539	371 First Road	New York	VT	1	1	
198	273-265-7400	646 Rocky Clarendon St.	Raleigh	NJ	1	0	30
199	(161) 785-9820	62 Rocky New Boulevard	Kansas	MI	1	1	60
200	041-496-0826	57 Rocky First Parkway	San Antonio	MS	1	0	60
201	(100) 624-3010	70 East White Oak Parkway	San Jose	IA	0	0	30
202	749-172-3264	403 North Rocky Nobel Road	St. Louis	RI	1	0	
203	(621) 846-8732	42 Green New Boulevard	Sacramento	WA	1	1	45
204	(015) 226-9043	235 Second St.	San Jose	IA	1	1	45
205	688-261-8913	21 North Second Way	Akron	OH	1	0	60
206	628-202-6128	817 South White Hague Road	Montgomery	VA	1	1	
207	(317) 573-8107	44 East Rocky Oak Boulevard	Nashville	UT	1	1	
208	(252) 498-1608	53 Oak Blvd.	Denver	WV	1	1	60
209	179-607-2770	73 Fabien St.	Little Rock	VA	0	1	30
210	(377) 020-8341	129 Rocky First Parkway	St. Louis	RI	1	1	
211	(904) 088-1619	45 Clarendon Way	Riverside	NC	0	0	
212	(251) 423-8473	249 Cowley St.	Birmingham	TX	0	1	
213	(969) 717-2095	85 Rocky Milton Drive	Sacramento	CA	1	1	30
214	504-057-1060	342 White Second Way	Yonkers	LA	1	0	30
215	(199) 470-6620	999 North White Oak Boulevard	Fort Worth	CO	0	1	
216	213-409-0729	52 West Old Boulevard	Detroit	VA	1	0	45
217	(498) 820-0310	859 Rocky Cowley Parkway	Jackson	AZ	1	1	45
218	(378) 879-7752	25 White Old Parkway	Buffalo	IA	1	1	
219	924-431-8414	48 Green Milton Blvd.	Pittsburgh	CO	1	1	
220	(007) 894-8206	754 White Cowley Drive	Milwaukee	MT	1	0	30
221	101-563-8658	835 South Old St.	Austin	VT	1	0	
222	939-690-9136	763 West Rocky First Boulevard	Jacksonville	NH	0	0	60
223	314-676-3493	29 Second Way	Las Vegas	NH	1	0	
224	108-182-3797	78 Old Street	Dallas	CT	1	0	30
225	(002) 665-2720	73 Hague Blvd.	Baltimore	NC	1	1	30
226	044-485-3351	66 Nobel Drive	Rochester	NV	1	1	45
227	(878) 416-1069	75 Green Hague Avenue	Colorado	DE	1	1	60
228	""	74 Rocky Hague Parkway	Nashville	LA	1	1	60
229	807-804-2534	73 Rocky Clarendon Way	Long Beach	TN	1	0	
230	794-278-8367	14 White Old Parkway	Minneapolis	NV	1	1	60
231	236-211-5423	390 Rocky Nobel Avenue	Jersey	NC	1	1	45
232	(434) 345-6168	15 Old Boulevard	Detroit	MN	1	1	45
233	244-476-8827	340 Hague Blvd.	Lincoln	TX	1	1	
234	(392) 490-9740	536 Green Nobel Freeway	San Diego	SD	1	1	30
235	(758) 689-9195	84 Hague Boulevard	Seattle	HI	1	1	60
236	(466) 409-8845	18 Rocky Second Way	Tacoma	OK	0	1	30
237	(566) 551-0901	781 West Rocky Oak Street	Milwaukee	MT	0	1	
238	909-550-0860	469 Milton Drive	Mesa	AK	1	1	60
239	(699) 626-4407	418 White Milton Road	Jersey	NC	1	1	45
240	(575) 586-9506	40 White Old Parkway	Aurora	WA	0	1	45
241	587-596-9053	956 Second Blvd.	Birmingham	VT	1	0	30
242	(648) 097-2352	63 White Second Road	Norfolk	MT	1	1	30
243	930-647-6524	311 East White Oak Parkway	Greensboro	OH	1	0	30
244	756-391-7166	14 Nobel Boulevard	Cleveland	IL	1	1	30
245	549-471-9660	99 East White Second Parkway	St. Paul	CT	0	1	
246	725-426-6395	249 West Rocky First St.	Tucson	TN	1	0	30
247	683-940-6998	379 Rocky Hague Street	Lubbock	IL	1	1	
248	(505) 918-5913	83 North Rocky Fabien Parkway	Norfolk	FL	1	1	30
249	753-960-3604	96 Rocky Old Road	St. Paul	WI	1	0	30
250	666-851-8555	126 Milton Street	Tampa	MS	1	1	
251	238-815-5087	998 South White Clarendon Drive	Anchorage	FL	1	1	60
252	(782) 138-3540	24 New Freeway	Little Rock	VA	1	0	
253	783-988-8468	329 South Rocky Hague Freeway	Atlanta	TX	1	1	45
254	058-468-2033	24 Old Street	St. Louis	NC	1	1	30
255	(931) 433-7372	557 Nobel Parkway	Anaheim	HI	1	0	45
256	089-438-6460	839 White Cowley Way	Indianapolis	IN	0	1	60
257	(520) 550-3845	72 Old Drive	Spokane	NJ	1	1	
258	(842) 118-1090	77 Second Road	Omaha	MD	0	1	45
259	(671) 151-3170	48 North Green Hague Freeway	Pittsburgh	WV	1	1	45
260	408-159-1491	132 White Cowley Blvd.	San Diego	SD	1	0	
261	107-189-6045	445 Green First Street	Indianapolis	NE	1	1	
262	(115) 339-1089	26 Rocky Milton Freeway	Akron	RI	1	0	60
263	(674) 613-3288	324 Rocky Nobel Drive	Riverside	NC	1	0	60
264	484-351-8875	336 First Boulevard	St. Petersburg	OK	1	1	
265	(866) 659-5490	71 White Old St.	Kansas	ME	1	1	45
266	(722) 706-6256	93 Oak Road	Madison	IA	1	1	45
267	(862) 923-6620	427 Green Cowley Drive	Newark	DE	1	0	60
268	206-431-6270	667 West White Nobel Road	Washington	AL	1	1	45
269	(036) 330-1808	64 Cowley Freeway	Boston	WV	1	0	30
270	(652) 110-5228	539 West Green Milton Freeway	Hialeah	NM	1	1	60
271	003-886-9265	34 Green Cowley Street	Los Angeles	HI	1	1	45
272	(882) 909-9982	949 White Nobel Parkway	Shreveport	VT	1	0	
273	847-789-4096	70 Rocky Hague Street	Pittsburgh	CO	1	0	
274	(591) 777-9594	56 Oak St.	Glendale	WI	1	1	45
275	(031) 223-5185	14 Fabien St.	Fremont	ID	1	1	60
276	(316) 655-8247	42 First Street	Baltimore	NC	0	0	
277	516-601-9332	694 Clarendon Blvd.	Arlington	WA	1	0	
278	(497) 303-8686	22 Green Milton Street	Houston	OR	1	1	45
279	(481) 530-5583	24 Second Boulevard	Colorado	MD	1	1	30
280	239-555-4236	388 South Rocky New Way	Mobile	RI	1	0	30
281	204-605-1867	17 Clarendon Drive	Oakland	ME	1	1	
282	413-415-6418	216 East White Oak Way	St. Louis	NC	1	1	
283	(391) 630-1875	602 West Old Drive	Pittsburgh	WV	1	1	60
284	217-554-8316	88 White Oak Parkway	Pittsburgh	WV	1	1	60
285	(398) 696-7716	631 South Cowley Street	Memphis	FL	1	0	30
286	043-443-6328	142 Rocky Nobel St.	Toledo	SD	1	0	
287	(178) 130-9986	69 Milton Way	Detroit	MN	1	1	45
288	(306) 542-0117	640 Green Nobel Way	Montgomery	KY	1	1	45
289	(354) 860-9155	58 White Old Street	Rochester	OR	1	1	
290	431-920-6427	218 South Old St.	Portland	NE	1	1	30
291	668-918-4088	14 White Cowley Avenue	Mobile	OH	1	0	
292	(053) 538-0471	87 South Clarendon Way	Austin	VT	1	1	45
293	904-723-2167	860 Second St.	San Jose	ME	1	1	30
294	(909) 275-1215	474 First Blvd.	Fort Worth	CO	1	0	60
295	635-314-6708	73 South Green Clarendon Street	Virginia Beach	CO	1	1	
296	(213) 187-5690	681 North Hague Way	Lincoln	AR	1	1	45
297	(919) 336-6730	343 Hague Avenue	St. Petersburg	CT	1	1	
298	410-677-8330	19 North Hague Drive	St. Paul	GA	1	1	60
299	(899) 954-7946	767 Old Road	Richmond	AK	1	0	30
300	(565) 215-5544	91 White Milton Freeway	Grand Rapids	FL	1	0	60
301	(267) 090-8000	347 East Green Old Avenue	Shreveport	VT	1	1	60
302	(419) 544-8281	10 Oak Avenue	Mesa	AK	0	0	45
303	(348) 441-1162	721 Clarendon Way	Cleveland	CT	1	1	30
304	(841) 959-6486	310 North White Old Road	Charlotte	NY	1	1	30
305	754-852-1457	145 Hague Way	St. Paul	CT	1	1	30
306	973-054-0715	792 Milton Street	Cincinnati	CO	1	1	45
307	737-914-7638	262 East Oak Street	Riverside	WY	0	1	60
308	265-774-1569	63 Milton Drive	Tacoma	OK	1	0	60
309	578-936-7887	22 Oak Drive	Jacksonville	TN	0	1	60
310	970-900-1878	97 Clarendon Street	Dayton	IL	1	0	
311	(221) 590-7083	54 West White Old Avenue	Bakersfield	CA	1	0	45
312	874-909-4305	750 West White Milton Way	Boston	NV	1	1	30
313	(505) 874-6818	166 West Green Milton Blvd.	Little Rock	AR	1	1	60
314	(003) 255-4794	95 Clarendon St.	Minneapolis	NJ	1	1	
315	778-694-4750	84 White Old Way	Birmingham	WY	0	1	
316	(058) 793-9428	444 Second Road	Baton Rouge	DE	1	1	
317	581-758-9213	30 Oak Blvd.	Detroit	VA	1	1	60
318	(560) 513-8869	854 Cowley Avenue	Las Vegas	ME	1	1	45
319	746-331-5024	462 Cowley Avenue	Grand Rapids	MO	1	1	45
320	(569) 508-3023	81 South Cowley Drive	Los Angeles	KS	1	1	
321	037-961-5390	73 White Old Freeway	Denver	NV	1	1	
322	(000) 723-9245	78 Milton Blvd.	Anchorage	MO	1	0	45
323	(065) 555-3458	747 East New Avenue	Arlington	WA	1	1	30
324	164-882-9265	48 Milton Boulevard	Omaha	MD	0	1	60
325	(443) 375-7956	812 Rocky Fabien Boulevard	Spokane	TN	0	1	
326	655-240-8974	34 Hague Avenue	Indianapolis	NE	1	1	45
327	(633) 267-0152	68 White Clarendon Boulevard	Anaheim	HI	1	1	30
328	(849) 336-6728	47 Rocky Milton Drive	Bakersfield	CA	1	1	60
329	646-581-6538	757 Green New Boulevard	New Orleans	IN	1	0	45
330	(533) 974-9408	51 Old Avenue	Fremont	PA	0	1	
331	656-762-5675	59 East Green Hague Way	Colorado	AZ	1	1	
332	(849) 288-4281	12 West Clarendon St.	Mobile	NC	1	1	60
333	417-987-8915	49 South Green Cowley Boulevard	Lubbock	ID	0	0	
334	862-695-5651	59 East New Avenue	Shreveport	VT	1	0	60
335	(045) 801-9061	58 North Nobel St.	Santa Ana	UT	0	1	60
336	593-195-0557	908 First Boulevard	Baton Rouge	AZ	1	0	60
337	610-440-3566	170 White Hague Parkway	Oklahoma	NM	1	1	60
338	726-280-3894	355 North Green Old Way	Columbus	ID	1	1	60
339	300-327-9872	54 Rocky Fabien Street	Boston	NV	1	1	
340	670-100-8058	16 New Avenue	Greensboro	OH	0	0	30
341	728-670-4525	685 White Milton Road	Chicago	MI	1	1	30
342	287-198-8437	323 Cowley Road	Grand Rapids	MO	1	1	60
343	(206) 360-0769	392 Green Nobel Way	Chicago	NH	0	0	
344	(252) 215-3579	58 West Rocky Cowley Drive	Seattle	ND	0	1	45
345	(346) 550-8721	47 Hague Road	Bakersfield	KS	1	1	45
346	792-852-1750	160 South Hague Way	Greensboro	RI	1	0	
347	(607) 483-1845	872 Cowley Parkway	Montgomery	SC	1	0	
348	(653) 202-2606	95 Green Nobel Freeway	Dayton	IL	1	0	60
349	383-588-9870	80 Cowley Avenue	Long Beach	MI	0	0	60
350	(846) 246-4379	517 Hague St.	Dallas	CT	1	1	60
351	712-923-5004	86 Green New Drive	Santa Ana	UT	1	1	45
352	544-815-9734	278 South Green Second Drive	Baltimore	NC	1	1	45
353	(396) 950-5918	83 White Milton Parkway	Baltimore	WY	1	0	
354	952-470-9508	93 Rocky Hague Blvd.	Dallas	WI	0	1	30
355	254-768-4444	163 Fabien Parkway	Bakersfield	KS	1	1	45
356	941-399-4596	70 East Old St.	Des Moines	NC	1	1	60
357	904-815-5611	139 Rocky Second Boulevard	Grand Rapids	OH	1	1	45
358	183-929-4047	692 Milton Parkway	Little Rock	AR	1	1	30
359	085-946-9356	557 Old Avenue	New York	TX	0	1	45
360	(948) 251-1874	756 Green Fabien Way	Albuquerque	OR	1	0	
361	(646) 169-1023	661 East Rocky New Parkway	Buffalo	AL	0	0	45
362	895-905-1354	673 Rocky Second Way	Oakland	NH	1	1	60
363	763-916-7456	745 Green New Avenue	Memphis	FL	1	1	
364	389-838-3343	408 East Milton Parkway	Baltimore	WY	0	1	
365	225-959-6636	82 North Rocky Clarendon Road	Portland	IN	1	1	60
366	(218) 116-4653	27 West Oak Parkway	Cleveland	IL	1	1	60
367	291-182-8763	932 Clarendon Parkway	Nashville	IN	1	1	45
368	(125) 159-5128	45 Fabien Way	Nashville	LA	1	0	45
369	(791) 942-5743	94 First Street	Raleigh	OR	1	1	30
370	206-782-0429	74 North Hague Drive	Albuquerque	OR	1	0	
371	493-747-6130	99 Nobel Blvd.	Seattle	NM	1	0	60
372	687-639-5502	77 Oak Boulevard	Atlanta	TX	0	0	
373	973-812-4155	209 White Old St.	Arlington	CA	1	1	45
374	453-375-6431	48 North First Drive	Wichita	PA	0	1	
375	(482) 720-7313	58 Second Parkway	Garland	IA	1	1	30
376	(452) 461-1389	98 East Green Fabien Freeway	St. Petersburg	CT	1	1	45
377	086-031-8086	94 West White Cowley Avenue	Spokane	TN	1	1	60
378	(796) 447-2274	31 North Clarendon Parkway	Baton Rouge	GA	0	1	45
379	696-238-7439	14 West Rocky Nobel St.	Montgomery	VA	1	0	60
380	712-352-7945	184 Fabien Parkway	Los Angeles	HI	1	0	30
381	639-569-3049	127 Rocky Second Parkway	San Diego	AL	0	1	60
382	216-593-0012	86 White Clarendon Boulevard	Seattle	NM	0	0	60
383	(173) 391-5832	49 North Second Way	Mobile	RI	1	1	60
384	812-839-3809	963 Cowley Drive	Tucson	MI	0	1	
385	383-458-7767	807 North Rocky Milton Street	Dayton	OK	1	0	
386	672-062-8737	21 First Parkway	Long Beach	MI	1	0	45
387	(446) 350-4073	700 Clarendon Road	Little Rock	AR	0	1	45
388	447-709-6799	213 Hague Parkway	Norfolk	NY	1	0	
389	(069) 121-0241	898 Green Second Drive	St. Louis	WY	1	1	
390	314-603-9203	44 Oak Road	Milwaukee	NY	1	1	45
391	894-156-1017	134 Cowley Freeway	Raleigh	OR	0	1	30
392	356-292-3133	31 North Milton Way	Lubbock	ID	0	1	
393	(676) 524-7993	64 Nobel Boulevard	Milwaukee	MT	1	0	45
394	(035) 019-5417	76 Cowley Parkway	Birmingham	TX	1	1	
395	631-481-4317	50 Milton Blvd.	Los Angeles	HI	0	1	
396	866-565-5429	32 White Oak Boulevard	Tacoma	ID	1	1	45
397	126-515-8185	627 Rocky Old Road	San Francisco	MD	1	1	30
398	(917) 275-7119	734 South First Boulevard	Atlanta	MN	1	1	30
399	775-082-6216	79 East Nobel Way	Detroit	KY	1	0	30
